Unnamed: 0,Method,User-Agent,Pragma,Cache-Control,Accept,Accept-encoding,Accept-charset,language,host,cookie,content-type,connection,length,content,classification,URL,attack_type
Normal,POST,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,JSESSIONID=F6E137B84C80B6ADC2C54C54E007571C,application/x-www-form-urlencoded,Connection: close,Content-Length: 68,id=3&nombre=Vino+Rioja&precio=100&cantidad=71&B1=A�adir+al+carrito,0,http://localhost:8080/tienda1/publico/anadir.jsp HTTP/1.1,0
Normal,POST,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,JSESSIONID=521823B823003722871B5FD48957B4FB,application/x-www-form-urlencoded,Connection: close,Content-Length: 241,<svg><section onload=alert(1)></section>,0,http://localhost:8080/tienda1/publico/registro.jsp HTTP/1.1,2
Normal,POST,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,JSESSIONID=755025E000E412F7F51C15DF2C4698CE,application/x-www-form-urlencoded,Connection: close,Content-Length: 42,"<IMG SRC=""jav&#x0D;ascript:alert('');"">",0,http://localhost:8080/tienda1/publico/pagar.jsp HTTP/1.1,2
Normal,POST,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,JSESSIONID=F3169EB31B5DAF4E661140AB20420871,application/x-www-form-urlencoded,Connection: close,Content-Length: 67,"<meter onmousemove=""alert(1)"">test</meter>",0,http://localhost:8080/tienda1/publico/anadir.jsp HTTP/1.1,2
Normal,POST,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,JSESSIONID=2B68F27CF2142DD96DD81D797FDC5A7B,application/x-www-form-urlencoded,Connection: close,Content-Length: 254,modo=registro&login=finak&password=6ven�cea&nombre=Wara&apellidos=Rebes+Huasequi&email=genee@dissident.sj&dni=57970346L&direccion=Calle+Arroyo+De+Los+Angeles+180+&ciudad=Susinos+del+P�ramo&cp=32520&provincia=Girona&ntc=4676117333611545&B1=Registrar,0,http://localhost:8080/tienda1/miembros/editar.jsp HTTP/1.1,0
Normal,POST,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,JSESSIONID=331F7A35F0FEF408A96F2A2A51A75F1C,application/x-www-form-urlencoded,Connection: close,Content-Length: 43,modo=insertar&precio=8088&B1=Pasar+por+caja,0,http://localhost:8080/tienda1/publico/pagar.jsp HTTP/1.1,0
Normal,POST,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,JSESSIONID=7C3C6F80E8237D787D7C4210847FFE92,application/x-www-form-urlencoded,Connection: close,Content-Length: 238,"modo=registro&login=eansor&password=decuplar&nombre=Dalmacio&apellidos=Zurueta+Olarte&email=meed@peliculasen3d.va&dni=00033926R&direccion=Nicaragua,+195,+&ciudad=G�ldar&cp=19275&provincia=La+Rioja&ntc=3891386369836978&B1=Registrar",0,http://localhost:8080/tienda1/miembros/editar.jsp HTTP/1.1,0
Normal,POST,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,JSESSIONID=82FAC787D80DC3A33EE5BE75D261F386,application/x-www-form-urlencoded,Connection: close,Content-Length: 232,"modo=registro&login=miriamne&password=begard.o&nombre=Nadina&apellidos=Paesa+Regnet&email=depp@rpdkorea.il&dni=85673796S&direccion=Calle+Goletera+30,+6A&ciudad=Balaguer&cp=06310&provincia=Ja�n&ntc=6687072478385848&B1=Registrar",0,http://localhost:8080/tienda1/miembros/editar.jsp HTTP/1.1,0
Anomalous,POST,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,JSESSIONID=C31713E186E0327E8DFB8B6BE086AB49,application/x-www-form-urlencoded,Connection: close,Content-Length: 65,modo=entrar&login=tomohiro&pwdA=cacoquimia&remember=off&B1=Entrar,1,http://localhost:8080/tienda1/publico/autenticar.jsp HTTP/1.1,1
Anomalous,POST,Mozilla/5.0 (compatible; Konqueror/3.5; Linux) KHTML/3.5.8 (like Gecko),no-cache,no-cache,"text/xml,application/xml,application/xhtml+xml,text/html;q=0.9,text/plain;q=0.8,image/png,*/*;q=0.5","x-gzip, x-deflate, gzip, deflate","utf-8, utf-8;q=0.5, *;q=0.5",en,localhost:8080,JSESSIONID=48EB8799CF346AD6A5679F3EEC0C4646,application/x-www-form-urlencoded,Connection: close,Content-Length: 65,modo=entrar&login=toshach&pwd=qUeR4N55a&remember=off/&B1=Entrar,1,http://localhost:8080/tienda1/publico/autenticar.jsp HTTP/1.1,1
